"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"multicool","packages/x86_64-pc-linux-gnu/4.1/","0.1-12",NA,NA,NA,NA
"multimode","packages/x86_64-pc-linux-gnu/4.1/","1.5",NA,NA,NA,NA
"MuMIn","packages/x86_64-pc-linux-gnu/4.1/","1.43.17",NA,NA,NA,NA
"munsell","packages/x86_64-pc-linux-gnu/4.1/","0.5.0",NA,NA,NA,NA
"mvtnorm","packages/x86_64-pc-linux-gnu/4.1/","1.1-3",NA,NA,NA,NA
"nloptr","packages/x86_64-pc-linux-gnu/4.1/","1.2.2.2",NA,NA,NA,NA
"nortest","packages/x86_64-pc-linux-gnu/4.1/","1.0-4",NA,NA,NA,NA
"numDeriv","packages/x86_64-pc-linux-gnu/4.1/","2016.8-1.1",NA,NA,NA,NA
"openssl","packages/x86_64-pc-linux-gnu/4.1/","1.4.6",NA,NA,NA,NA
"openxlsx","packages/x86_64-pc-linux-gnu/4.1/","4.2.4",NA,NA,NA,NA
"parallelly","packages/x86_64-pc-linux-gnu/4.1/","1.30.0",NA,NA,NA,NA
"parsedate","packages/x86_64-pc-linux-gnu/4.1/","1.2.1",NA,NA,NA,NA
"pbkrtest","packages/x86_64-pc-linux-gnu/4.1/","0.5.1",NA,NA,NA,NA
"pemisc","packages/x86_64-pc-linux-gnu/4.1/","0.0.3.9005","pemisc","PredictiveEcology","development","96b4aaf0b9ac0790ae3532e5d18735a63a7104f4"
"peutils","packages/x86_64-pc-linux-gnu/4.1/","0.1.0","peutils","PredictiveEcology","development","d40d97c594c01014101c1edacd48bcace89dcb97"
"pillar","packages/x86_64-pc-linux-gnu/4.1/","1.7.0",NA,NA,NA,NA
"pingr","packages/x86_64-pc-linux-gnu/4.1/","2.0.1",NA,NA,NA,NA
"pkgbuild","packages/x86_64-pc-linux-gnu/4.1/","1.2.0",NA,NA,NA,NA
"pkgconfig","packages/x86_64-pc-linux-gnu/4.1/","2.0.3",NA,NA,NA,NA
"pkgload","packages/x86_64-pc-linux-gnu/4.1/","1.2.4",NA,NA,NA,NA
